content,polarity
"-Me caes muy bien 
-Tienes que jugar más partidas al lol con Russel y conmigo
-Por qué tan Otako, deja de ser otako
-Haber si me muero",NONE
"@myendlesshazza a. que puto mal escribo

b. me sigo surrando help 

3. ha quedado raro el ""cómetelo"" ahí JAJAJAJA",N
@estherct209 jajajaja la tuya y la d mucha gente seguro!! Pero yo no puedo sin mi melena me muero ,N
Quiero mogollón a @AlbaBenito99 pero sobretodo por lo rápido que contesta a los wasaps ,P
Vale he visto la tia bebiendose su regla y me hs dado muchs grima ,N
@Yulian_Poe @guillermoterry1 Ah. mucho más por supuesto! solo que lo incluyo. Me habías entendido mal ,P
"Se ha terminado #Rio2016 Lamentablemente no arriendo las ganancias al pueblo brasileño por la penuria que les espera 
Suerte y solidaridad",N
11. siiii fue super gracioso teniamos que habernos sacado una foto ,P
@toNi_end seria mejor que dejasen de emitir esa basura ya  hay que evolucionar para bien y eso,N
"@jonoro96 te mandaria a comprarte un burro, pero no creo que hayan tiendas abiertas ahora ",N
Mg y pongo un adjetivo super repelente a vuestro nombre ,N
@hywzz la voz de María al final me mata JAJAJSJAJAJAJ quilla y yo que ,N
@EduGalan14  Jaja.Es de bien nacidos ser agradecidos que diría aquel.Tiene el récord de puntos del VCF.Creo q cumplió con lo que había.,P
"@misscatingcat Bueno, al menos has acabado la noche con una hermosa vista  Ami tambien me gusta verlos por la noche ^^",P
@mendescodes @heroinseb enserio cuando habéis dicho que los froot loops están malos me ha dolido... ,N
"@Sakura_Abril Ow 
Bueno, no pasa nada, cuando puedas confirmarlo, estoy aquí 😊
Y si no pudieras de cosplay pero sí a la expo, +",P
"Aunque pensaba que no podría hacerlo hasta el mes de octubre, el lunes próximo volveré a ver a mi familia de #Mataró *.*   #felicidad",P
Oye @luciaskaa te pones a hablar con @josecs02 como en los viejos tiempos y no avisas  @JuanAlfonso251 @CrisDazGar,N
"@JCLilGangster yo tengo que aguantar 4 niños pequeños, no sé que es peor ",N
"@tejecristal 765 emberda
Y porque estoy dedicandome a otros supps últimamente ",NONE
@Yosmath @Planeta87Radio  #Incantus  Genial ya estoy conectada ,P
"Es muy raro el sentimiento que tengo ahora, aunque en fin... Qué más dará ",NEU
"@pabloserrano @JesusBengoechea Madrid tiene la cultura propia de los que ""no tiene cultura propia"". Vamos, como los romanos en su tiempo ",N
"Gracias por los ánimos! He dormido un poco más, me he tomado una pastilla y ha bajado a 36 y medio, pero aún me noto rara ",N
"@KunMadera pues date unas cuantas horas, que es muy temprano ",NEU
"@xZ4dry @xSLGY Tienes pinta buena gente por lo q veo, t he conocio gracias a qt ",P
"@achocoblog ... bueno, desierta, desierta, no, con algunos seres feéricos  ",P
@policia 2 horas esperando en Comisaría Gandia y han atendido a 3 personas! Y solamente para una autorización de viaje a un menor. ,N
"@angeleta1973 @elespanolcom No he visto su DNI o Pasaporte pero presume de serlo aunque es muy,demasiado,peculiar y poco caritativa   ",N
@AlbGarD Oh  ¿Me estás llamando gordo? JAJAJA Grazie ruliño  Lo mismo puedo decir ,N
@BarrosNerea Tú siempre sexy Nerea!! Qué tengas un maravilloso día! Besitos! ,P
@seestrena #seestrenasietevidas Sería un gato tipo Garfield porqué soy un poco vago y porqué me encanta la lasaña!! ,P
@prxttytimebomb @emimartinez_98 Si es que odio a muerte a la nueva Harley que quieres ,N
@WINTERSCLIFF0RD ni tu como soportas el calor sevillano hija mía ,N
"@joseche_jagg @adsuara +10000, cremos una agencia de contratación de temporales, a ver cómo se vende a los sindicatos ",NONE
.@soyalt_es estaremos atentas a las novedades futuras. ¡El final del verano no será igual sin vosotros! ,N
Ayer me quedé dormido xdddd lo peor esque sigo reventado ,N
"Confirmao tengo el pie roto, he notado como el puto hueso se movía ",N
"@lmg muchísimas gracias Luis  Tú también eres un ejemplo de constancia y buen trabajo, espero que os vaya todo genial!",P
Tengo una adicción muy seria al burguer King necesito ayuda profesional ,N
"Me dice un pajarito que ahora mismo no puede reservar en la web de BiBo, lo nuevo de @danigarcia_ca. Espero que sea por la demanda. ",N
@cobos_rebeca A ti por responder! Espero y deseo que te salgan nuevos proyectos!! Besitos!! ,P
@PUUNISSHER @KingKongJulen @xCoorsa @Yuniiiiitoo @YouTube oye corsa  que yo no he jugado contra puni en lan,NONE
Estoy preparando muchas cosas para que el especial sea muy especial ,P
"Solo porque UNA persona diga que me conoce y opine sobre cómo soy, y convenza a otra de ello no significa que sea así ",NEU
"@TeAbroUnaNueva porque no vives en Madrid!!  bueno yo estoy ahorrando, yo lo intento jo y si no pues en la cola y ya quedaremos a parte..",NONE
"@fonzeff @malenko_ @girotix Eso me temo, mucho calor y mucha gente por todos lados, lo malo de viajar en agosto ",N
"@Jordicanal64 Pues si no fichan ""lo que sea"" además de un ridículo espantoso igual QSF nos deja plantados...esperemos que no   ",N
@virsnroses cuando estén los 20 contactados y aprobados se publicará el listado en nuestra web ,NONE
"@edu_rnieves Te la recomiendo, parece monótona pero hay capítulos que vuelven a subir el interés ",P
Ya no tengo capítulos de Juego de Tronos para ver. Me siento vacía. ,N
"@goetha Jajaja se aprovechó lo ke pudo, ya se fue a currar pero mañana descansa  mucho lío entonces no? Y con el malagueño que tal?",P
@futbolero93 solo recuerda que Iman es tranquila ,P
"@AlteaLaSueca en el debate que he estado leyendo, en el blog de Silvio @citaconsilvio lo pone el gran @feliuvicente citando al Che. ",NONE
"comprendo que te molen mis tattoos, pero no te los hagas 'iguales' ",NEU
"@_betterton @juanrallo para cometer atentados terroristas (2)
No creo que entonces existiera el burkini ",NONE
@cayusollo pues necesito un audio para el próximo episodio ¿te animas? ,NONE
@morbosaborealis jajajaja... eso es verdad... aquí no hay uno cuerdo ,N
@xqwcrp @xoancarV Un lapsus advertido gracias a @Cascarelo y subsanado. Gracias por tu aportación. ,P
@ManuBarba Lo feo es llegar al reina sofía y que los descuentos de estudiante sean para menores de 27 años ,N
@IvnLz el resto puedo dudar pero de ese grupo lo tengo claro ,NEU
@Pirata__Roberts hay gente muy buena trabajando duro en @SpheraSports. Palabras así impulsan  @Eliperezup,P
"Ah vale, me suelta la puta subnormal, te estoy llamando. 
Le digo que no me sale y dice ""ah, es que tengo el wifi apagado"" ",N
@Adriansoler espero y deseo que el interior te cause lo mismo ,NEU
"@FaranduleroYo Pues espero que no lo digas por mi niña o no voto mas  memeo, bueno cada uno tendra su opinion +",N
@Tabernita @ptraciogg pregunta seria.  para cuando kedada/cañas de gente twittera de la zona? ,NONE
